45.88.193.62:443   | 64.252.110.108 | JP | 55ms | CloudFront | 2023-09-04 23:50:13
47.243.43.62:443   | 64.252.104.184 | HK | 55ms | CloudFront | 2023-09-05 00:40:37
47.57.136.189:443  | 64.252.104.184 | HK | 55ms | CloudFront | 2023-09-05 00:21:51
103.235.18.44:443  | 64.252.104.184 | HK | 56ms | CloudFront | 2023-09-04 23:55:11
193.110.203.179:443 | 64.252.104.184 | HK | 56ms | CloudFront | 2023-09-04 23:50:13
23.106.140.23:443  | 64.252.104.184 | JP | 56ms | CloudFront | 2023-09-05 00:55:33
43.132.226.47:443  | 64.252.104.184 | HK | 56ms | CloudFront | 2023-09-05 02:27:05
47.242.201.252:443 | 64.252.104.184 | HK | 56ms | CloudFront | 2023-09-05 00:37:17
8.210.193.199:443  | 64.252.104.184 | HK | 56ms | CloudFront | 2023-09-05 00:03:40
8.217.9.221:443    | 64.252.104.184 | HK | 56ms | CloudFront | 2023-09-05 00:09:11
103.235.18.29:443  | 64.252.104.184 | HK | 57ms | CloudFront | 2023-09-04 23:55:11
128.14.67.168:443  | 64.252.104.184 | HK | 57ms | CloudFront | 2023-09-04 23:47:16
128.14.67.181:443  | 64.252.73.98   | HK | 57ms | CloudFront | 2023-09-04 23:47:17
128.14.67.254:443  | 64.252.73.98   | HK | 57ms | CloudFront | 2023-09-04 23:47:27
128.14.67.254:443  | 64.252.73.98   | HK | 57ms | CloudFront | 2023-09-04 23:47:46
8.218.18.225:443   | 64.252.104.184 | HK | 57ms | CloudFront | 2023-09-05 00:11:04
128.14.67.109:443  | 64.252.73.98   | HK | 58ms | CloudFront | 2023-09-04 23:47:27
128.14.67.109:443  | 64.252.73.98   | HK | 58ms | CloudFront | 2023-09-04 23:47:47
128.14.67.168:443  | 64.252.104.184 | HK | 58ms | CloudFront | 2023-09-04 23:47:42
45.40.59.145:443   | 64.252.73.98   | HK | 58ms | CloudFront | 2023-09-04 23:45:14
8.217.86.239:443   | 64.252.104.184 | HK | 58ms | CloudFront | 2023-09-05 00:10:02
101.32.26.11:443   | 64.252.110.108 | HK | 59ms | CloudFront | 2023-09-05 02:32:19
103.103.245.155:443 | 64.252.104.184 | HK | 59ms | CloudFront | 2023-09-04 23:55:14
128.14.67.112:443  | 64.252.104.184 | HK | 59ms | CloudFront | 2023-09-04 23:47:44
129.227.153.174:443 | 64.252.68.33   | HK | 59ms | CloudFront | 2023-09-04 23:48:21
45.78.53.88:443    | 64.252.110.108 | JP | 59ms | CloudFront | 2023-09-05 00:55:52
103.117.103.141:443 | 64.252.110.108 | JP | 60ms | CloudFront | 2023-09-04 23:50:10
119.28.130.207:443 | 64.252.104.184 | HK | 60ms | CloudFront | 2023-09-05 02:33:20
128.14.67.168:443  | 64.252.104.184 | HK | 60ms | CloudFront | 2023-09-04 23:47:25
47.242.34.85:443   | 64.252.104.184 | HK | 60ms | CloudFront | 2023-09-05 00:36:26
128.14.67.53:443   | 64.252.104.184 | HK | 61ms | CloudFront | 2023-09-04 23:47:26
128.14.67.97:443   | 64.252.104.184 | HK | 61ms | CloudFront | 2023-09-04 23:47:26
23.106.129.49:443  | 64.252.110.108 | JP | 61ms | CloudFront | 2023-09-05 00:55:34
45.88.193.93:443   | 64.252.110.108 | JP | 61ms | CloudFront | 2023-09-04 23:50:12
8.217.203.16:443   | 64.252.104.184 | HK | 61ms | CloudFront | 2023-09-05 00:10:34
